,Pension - Accumulated Benefit Obligation,Pension - Long-Term Asset,Pension Actual Return on Plan Assets,Pension Beginning Plan Assets,Pension Employer Contribution,Employer Contributions - Expected Next Year,Pension - Current Liability,Pension Benefits Paid,Pension - Projected Benefit Obligation,Pension Plans - Interest Cost,Pension Plan Assets,Pension Plans - Other Periodic Cost Components (Net),Periodic Postretirement Benefit Cost (Net),Pension Plans - Rate of Compensation Increase,Pension Plans - Anticipated Long-Term Rate of Return on Plan Assets,Pension Plans - Return on Plan Assets (Expected),Pension Plans - Service Cost,Postretirement - Long-Term Asset,Post Retirement Actual Return on Plan Assets,Postretirement Benefit Asset,Postretirement Benefit Obligation,Postretirement Employer Contributions,Postretirement Interest Cost,Postretirement - Current Liability,Postretirement - Long-Term Liability,Postretirement Other Adjustments (Plan Assets),Postretirement Other Adjustments (Net Benefit Asset/Liability),Postretirement Net Total Other Costs,Postretirement Benefits Paid,Postretirement Participant Contributions,Postretirement Prior Service,Postretirement Service Cost,Global Company Key,Record_Date
50,237.9,1.0,36.3,162.2,10.0,40.81427289719626,0.0,12.2,239.9,9.3,194.8,2.9,-2.6,3.0,7.5,-11.9,4.7,0.0,0.0,-26.0,26.0,0.9,0.9,1.0,25.0,0.0,-0.0892080745341601,-3.9,1.7,0.8,-18.609389578333904,0.4,1254,2019-12-31
51,260.9,1.0,22.7,194.8,9.0,40.81427289719626,0.0,12.5,263.1,7.9,212.8,2.2,-1.9,3.0,7.25,-14.0,5.1,0.0,0.0,-29.1,29.1,0.9,0.8,1.0,28.1,0.0,-0.0892080745341601,-3.2,1.7,0.8,-18.609389578333904,0.5,1254,2020-12-31
52,247.7,1.3,31.2,212.8,9.0,40.81427289719626,0.0,13.0,249.5,6.4,238.9,2.9,-1.3,3.0,7.0,-14.7,4.8,0.0,0.0,-29.3,29.3,1.3,0.7,0.9,28.4,0.0,-0.0892080745341601,-2.7,2.1,0.8,-18.609389578333904,0.7,1254,2021-12-31
53,2007.997043255913,18.9,-26.7,238.9,9.0,40.81427289719626,0.0,14.1,187.4,7.0,206.3,1.4,-1.3,3.75,6.75,-16.0,4.8,0.0,0.0,-15.3,15.3,1.3,0.8,0.9,14.4,0.0,-0.0892080745341601,-2.8,2.0,0.7,-18.609389578333904,0.7,1254,2022-12-31
54,2007.997043255913,136.81829301033792,15.77,151.386,2.377,1.469,7.044454693729613,9.746,167.337,6.042,160.32,0.226,0.568,2.75,5.136904919479373,-5.919,2.009,0.0,0.0,-12.076,12.076,0.553,0.443,0.0,12.076,0.0,-0.0892080745341601,0.0,0.706,0.153,-18.609389578333904,0.125,1262,2019-12-31
55,2007.997043255913,136.81829301033792,-4.871,160.32,2.364,1.441,7.044454693729613,9.177,183.068,5.369,148.793,0.333,0.539,2.75,5.136904919479373,-5.181,2.15,0.0,0.0,-13.39,13.39,0.512,0.394,0.0,13.39,0.0,-0.0892080745341601,0.0,0.669,0.157,-18.609389578333904,0.145,1262,2020-12-31
56,2007.997043255913,136.81829301033792,20.104,148.793,3.661,2.738,7.044454693729613,9.641,170.492,4.463,163.045,0.3,0.497,2.5,5.136904919479373,-3.647,2.297,0.0,0.0,-11.508,11.508,0.506,0.328,0.0,11.508,0.0,-0.0892080745341601,0.0,0.679,0.173,-18.609389578333904,0.169,1262,2021-12-31
57,2007.997043255913,136.81829301033792,-14.851,163.045,2.649,1.698,7.044454693729613,10.325,131.384,5.027,140.445,0.483,0.468,2.5,5.136904919479373,-4.836,1.584,0.0,0.0,-8.81,8.81,0.521,0.337,0.0,8.81,0.0,-0.0892080745341601,0.0,0.693,0.172,-18.609389578333904,0.131,1262,2022-12-31
58,2007.997043255913,0.0,-46.5,1334.2,18.4,18.9,0.0,79.1,1343.6,3.6,1225.5,0.0,12.0,2.0,5.136904919479373,0.0,20.8,0.0,0.0,-239.8,239.8,10.3,8.0,0.0,239.8,0.0,-60.0,0.0,10.3,0.0,0.0,4.0,1263,2022-03-31
59,2007.997043255913,0.0,-75.4,1225.5,16.5,21.0,0.0,84.2,1264.9,7.3,1080.9,49.5,16.7,2.0,5.136904919479373,0.0,16.5,0.0,0.0,-222.9,222.9,10.8,9.9,0.0,222.9,0.0,-22.8,3.8,10.8,0.0,0.0,3.0,1263,2023-03-31
60,2007.997043255913,0.0,68.48095877538648,2265.277254474357,45.56636421920317,40.81427289719626,0.0,127.78401471038921,0.0,0.195,2182.1000749148693,0.012,-0.725916288989603,3.0369617956064947,5.136904919479373,0.0,0.0,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1266,2020-09-30
61,2007.997043255913,0.0,68.48095877538648,2265.277254474357,45.56636421920317,40.81427289719626,0.0,127.78401471038921,0.0,54.008472518844215,2182.1000749148693,29.730194946974425,-0.725916288989603,3.0369617956064947,5.136904919479373,-93.69901283491096,37.20354439252336,24.42853837924579,5.809931996748849,-169.91674436090227,279.46727845884413,9.571354472445305,8.668284632641615,11.252293878825734,178.89253634420098,0.642124518966465,-0.0892080745341601,-8.89376460721275,18.182695783962522,2.344156999442276,-18.609389578333904,4.729807272727272,1266,2021-09-30
65,24000.0,3265.0,4321.0,23590.0,107.0,112.0,45.0,1380.0,24180.0,755.0,26302.0,85.0,-48.0,3.25,6.75,-1448.0,104.0,0.0,0.0,-325.0,325.0,0.0,14.0,40.0,285.0,0.0,-20.0,-62.0,0.0,0.0,-166.0,0.0,1300,2019-12-31
